N,gap_mean,gap_sem,zero_zone_mean,runtime_mean
4,1.5543122344752192e-15,6.460951134929377e-16,0.04557291666666667,0.005026468192227185
8,2.4424906541753444e-15,8.406473066991232e-16,0.0078125,0.005842774466145784
16,1.3322676295501878e-15,6.384184633641085e-16,0.0,0.007284784980583936
32,2.220446049250313e-16,2.220446049250313e-16,0.0,0.010708100977353752
64,2.886579864025407e-15,9.847037774550072e-16,0.0,0.016858949442394078
128,2.6645352591003757e-15,1.276836926728217e-15,0.0,0.03070735523942858
256,1.3322676295501878e-15,6.384184633641085e-16,0.0,0.059448726125992835
