N,replicate,jobs,oracle_cost,tpr_cost,gap_per_household,zero_zone_fraction,coordinator_margin_min,min_household_saving,runtime_seconds
20,0,36,-388.0893679811834,-388.0893679811834,0.0,0.010416666666666666,-1.7763568394002505e-15,0.0,0.00885005947202444
20,1,45,-326.40223346966707,-326.4022334696672,0.0,0.010416666666666666,-2.6645352591003757e-15,2.022518726831784,0.009967307560145855
20,2,37,-369.66407915774863,-369.6640791577486,2.842170943040401e-15,0.010416666666666666,-2.6645352591003757e-15,0.0,0.008882319554686546
20,3,37,-347.6141574057445,-347.6141574057446,0.0,0.0,-2.6645352591003757e-15,1.4405691059249577,0.009082776494324207
20,4,40,-343.131239983905,-343.1312399839051,0.0,0.0,-2.6645352591003757e-15,0.0,0.009428703226149082
20,5,35,-382.17761601731945,-382.1776160173194,2.842170943040401e-15,0.0,-1.7763568394002505e-15,0.0,0.008860639296472073
20,6,37,-378.4226644074013,-378.4226644074013,0.0,0.0,-2.6645352591003757e-15,0.7821807028975272,0.009178925305604935
20,7,41,-355.51111749147367,-355.51111749147356,5.684341886080802e-15,0.0,-1.7763568394002505e-15,1.6245828454063798,0.009215754456818104
20,8,36,-401.72275566922974,-401.72275566923,0.0,0.0,-2.6645352591003757e-15,0.0,0.008556801825761795
20,9,38,-394.3998146000165,-394.3998146000165,0.0,0.0,-1.7763568394002505e-15,0.0,0.008552201092243195
20,10,31,-406.3122571397439,-406.3122571397439,0.0,0.0,-2.6645352591003757e-15,0.0,0.008045216090977192
20,11,35,-375.3695975404739,-375.3695975404738,2.842170943040401e-15,0.0,-2.6645352591003757e-15,0.0,0.008484832011163235
20,12,37,-387.148186139048,-387.148186139048,0.0,0.0,-3.552713678800501e-15,0.0,0.008642740547657013
20,13,39,-330.1851783538992,-330.185178353899,8.526512829121202e-15,0.0,-2.6645352591003757e-15,0.0,0.008856398053467274
20,14,28,-433.0362168813408,-433.0362168813407,5.684341886080802e-15,0.0,-1.7763568394002505e-15,0.0,0.007690459489822388
20,15,29,-410.7153672632368,-410.7153672632369,0.0,0.010416666666666666,-2.6645352591003757e-15,0.0,0.007942628115415573
25,0,45,-481.32215021874845,-481.32215021874856,0.0,0.0,-1.7763568394002505e-15,0.0,0.009642031975090504
25,1,46,-475.2124416063183,-475.2124416063183,0.0,0.0,-1.7763568394002505e-15,0.0,0.009958977811038494
25,2,37,-535.3865164512528,-535.3865164512529,0.0,0.0,-2.6645352591003757e-15,0.0,0.008824718184769154
25,3,38,-527.420543898547,-527.4205438985467,9.094947017729283e-15,0.0,-1.7763568394002505e-15,0.0,0.009007146582007408
25,4,43,-497.56985403924176,-497.56985403924216,0.0,0.0,-2.6645352591003757e-15,0.0,0.009420753456652164
25,5,45,-496.7134656657348,-496.71346566573493,0.0,0.0,-2.6645352591003757e-15,0.0,0.009539632126688957
25,6,41,-510.3418805567329,-510.341880556733,0.0,0.0,-3.552713678800501e-15,0.0,0.009334024041891098
25,7,43,-488.061719914784,-488.061719914784,0.0,0.0,-2.6645352591003757e-15,0.0,0.009377864189445972
25,8,37,-530.3356931490438,-530.335693149044,0.0,0.0,-3.552713678800501e-15,0.0,0.008788908831775188
25,9,43,-493.8849155742445,-493.8849155742446,0.0,0.0,-1.7763568394002505e-15,0.0,0.009408922865986824
25,10,43,-498.03224553275646,-498.0322455327564,2.2737367544323206e-15,0.0,-1.7763568394002505e-15,1.4682103340658692,0.009466912597417831
