N,replicate,jobs,oracle_cost,tpr_cost,gap_per_household,zero_zone_fraction,coordinator_margin_min,min_household_saving,runtime_seconds
16,10,25,-394.71059965487393,-394.7105996548738,7.105427357601002e-15,0.0,-1.7763568394002505e-15,-7.105427357601002e-15,0.006974685937166214
16,11,30,-363.4596207893685,-363.45962078936844,3.552713678800501e-15,0.0,-1.7763568394002505e-15,-7.105427357601002e-15,0.007430600933730602
16,12,27,-393.67772859242444,-393.6777285924246,0.0,0.0,-8.881784197001252e-16,-3.552713678800501e-15,0.007027836516499519
16,13,31,-372.7641501353968,-372.7641501353968,0.0,0.0,-8.881784197001252e-16,-7.105427357601002e-15,0.00745944119989872
16,14,33,-335.0289967249611,-335.0289967249611,0.0,0.0,-1.7763568394002505e-15,-3.552713678800501e-15,0.007938927039504051
16,15,33,-353.18165080767585,-353.18165080767574,7.105427357601002e-15,0.0,-1.7763568394002505e-15,0.0,0.007758449763059616
32,0,60,-727.6179153090194,-727.6179153090194,0.0,0.0,-1.7763568394002505e-15,-7.105427357601002e-15,0.011203517206013203
32,1,57,-749.5291632442116,-749.5291632442119,0.0,0.0,-1.7763568394002505e-15,-7.105427357601002e-15,0.010661961510777473
32,2,54,-755.2187955520362,-755.2187955520365,0.0,0.0,-2.6645352591003757e-15,-7.105427357601002e-15,0.01028689555823803
32,3,62,-712.7342272547196,-712.7342272547195,3.552713678800501e-15,0.0,-3.552713678800501e-15,-3.552713678800501e-15,0.010944369249045849
32,4,64,-710.9423362215206,-710.9423362215207,0.0,0.0,-1.7763568394002505e-15,-7.105427357601002e-15,0.011252797208726406
32,5,54,-762.6453192760711,-762.6453192760714,0.0,0.0,-1.7763568394002505e-15,-3.552713678800501e-15,0.010495873168110847
32,6,50,-772.7853309527029,-772.7853309527029,0.0,0.0,-1.7763568394002505e-15,-3.552713678800501e-15,0.009877449832856655
32,7,61,-712.6883142983447,-712.6883142983452,0.0,0.0,-3.552713678800501e-15,-7.105427357601002e-15,0.010996478609740734
32,8,61,-719.4106878081286,-719.4106878081286,0.0,0.0,-1.7763568394002505e-15,-3.552713678800501e-15,0.010994479060173035
32,9,57,-748.1700762898795,-748.1700762898795,0.0,0.0,-1.7763568394002505e-15,-7.105427357601002e-15,0.01047301385551691
32,10,60,-723.5348278118938,-723.5348278118938,0.0,0.0,-1.7763568394002505e-15,-7.105427357601002e-15,0.010783840902149677
32,11,52,-756.4549437923973,-756.4549437923977,0.0,0.0,-1.7763568394002505e-15,-3.552713678800501e-15,0.010059836320579052
32,12,55,-744.2166933690364,-744.2166933690364,0.0,0.0,-1.7763568394002505e-15,-3.552713678800501e-15,0.01052987389266491
32,13,62,-736.2965287626911,-736.2965287626912,0.0,0.0,-1.7763568394002505e-15,-3.552713678800501e-15,0.010916519910097122
32,14,62,-721.6511481717687,-721.6511481717687,0.0,0.0,-2.6645352591003757e-15,-3.552713678800501e-15,0.010965798981487751
32,15,60,-736.5979359369195,-736.5979359369196,0.0,0.0,-1.7763568394002505e-15,-3.552713678800501e-15,0.010886910371482372
64,0,109,-1514.2835395682291,-1514.28353956823,0.0,0.0,-3.552713678800501e-15,-7.105427357601002e-15,0.01676369644701481
64,1,113,-1471.2449394341236,-1471.2449394341234,3.552713678800501e-15,0.0,-3.552713678800501e-15,-3.552713678800501e-15,0.01714859250932932
64,2,124,-1458.7991844868602,-1458.7991844868604,0.0,0.0,-3.552713678800501e-15,-7.105427357601002e-15,0.017705236561596394
64,3,117,-1447.843377380945,-1447.8433773809456,0.0,0.0,-3.552713678800501e-15,-7.105427357601002e-15,0.01732116099447012
64,4,109,-1502.4576544566405,-1502.4576544566403,3.552713678800501e-15,0.0,-3.552713678800501e-15,-3.552713678800501e-15,0.016259190626442432
64,5,106,-1541.842558387888,-1541.8425583878884,0.0,0.0,-3.552713678800501e-15,-1.0658141036401503e-14,0.016003193333745003
64,6,114,-1496.1512294611114,-1496.1512294611118,0.0,0.0,-3.552713678800501e-15,-1.4210854715202004e-14,0.01667807623744011
64,7,112,-1498.253747054463,-1498.2537470544626,7.105427357601002e-15,0.0,-7.105427357601002e-15,-7.105427357601002e-15,0.016530567780137062
64,8,114,-1494.3133420447316,-1494.3133420447307,1.4210854715202004e-14,0.0,-7.105427357601002e-15,-7.105427357601002e-15,0.016655556857585907
64,9,120,-1452.999565987513,-1452.999565987513,0.0,0.0,-7.105427357601002e-15,-1.0658141036401503e-14,0.017394330352544785
64,10,110,-1524.4552313935858,-1524.455231393586,0.0,0.0,-5.329070518200751e-15,-7.105427357601002e-15,0.016118052415549755
64,11,115,-1494.9441736393342,-1494.9441736393337,7.105427357601002e-15,0.0,-3.552713678800501e-15,-7.105427357601002e-15,0.016672426834702492
64,12,114,-1489.2474465710409,-1489.2474465710407,3.552713678800501e-15,0.0,-7.105427357601002e-15,-3.552713678800501e-15,0.016689426265656948
64,13,116,-1477.6325588950795,-1477.6325588950801,0.0,0.0,-3.552713678800501e-15,-7.105427357601002e-15,0.016950824297964573
64,14,125,-1470.1718723051085,-1470.1718723051083,3.552713678800501e-15,0.0,-3.552713678800501e-15,-7.105427357601002e-15,0.017484559677541256
64,15,121,-1449.76869977722,-1449.7686997772198,3.552713678800501e-15,0.0,-3.552713678800501e-15,-7.105427357601002e-15,0.017368299886584282
128,0,232,-2991.1303922209845,-2991.1303922209854,0.0,0.0,-1.4210854715202004e-14,-7.105427357601002e-15,0.0312337726354599
128,1,236,-2892.978443343958,-2892.978443343958,0.0,0.0,-7.105427357601002e-15,-7.105427357601002e-15,0.03162768855690956
128,2,242,-2848.1313385369485,-2848.1313385369476,7.105427357601002e-15,0.0,-1.0658141036401503e-14,-7.105427357601002e-15,0.03199808672070503
128,3,233,-2952.56110473101,-2952.561104731011,0.0,0.0,-1.0658141036401503e-14,-1.0658141036401503e-14,0.030072873458266258
128,4,232,-2940.3551315564205,-2940.355131556421,0.0,0.0,-1.0658141036401503e-14,-7.105427357601002e-15,0.030417699366807938
128,5,235,-2906.85011226362,-2906.85011226362,0.0,0.0,-1.0658141036401503e-14,-7.105427357601002e-15,0.030982854776084423
128,6,235,-2945.5603262700542,-2945.5603262700542,0.0,0.0,-1.0658141036401503e-14,-1.0658141036401503e-14,0.030467689968645573
128,7,222,-2955.5834495485647,-2955.583449548566,0.0,0.0,-1.4210854715202004e-14,-7.105427357601002e-15,0.0296102287247777
128,8,228,-2942.2913636887724,-2942.291363688772,3.552713678800501e-15,0.0,-1.0658141036401503e-14,-7.105427357601002e-15,0.031066544353961945
128,9,216,-3025.9043754447557,-3025.9043754447566,0.0,0.0,-7.105427357601002e-15,-1.0658141036401503e-14,0.030405480414628983
128,10,230,-2945.9477878521357,-2945.947787852135,3.552713678800501e-15,0.0,-1.0658141036401503e-14,-7.105427357601002e-15,0.03160883951932192
128,11,208,-3122.7966663749817,-3122.796666374982,0.0,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.029255001805722713
128,12,227,-2982.709569512504,-2982.7095695125045,0.0,0.0,-1.0658141036401503e-14,-7.105427357601002e-15,0.030726018361747265
128,13,222,-3004.659877308099,-3004.6598773081014,0.0,0.0,-1.4210854715202004e-14,-7.105427357601002e-15,0.030076293274760246
128,14,224,-2981.9593775783796,-2981.9593775783774,1.7763568394002505e-14,0.0,-1.0658141036401503e-14,-7.105427357601002e-15,0.031166243366897106
128,15,224,-3004.7980447907335,-3004.798044790732,1.0658141036401503e-14,0.0,-7.105427357601002e-15,-7.105427357601002e-15,0.030602368526160717
256,0,457,-5970.863089736075,-5970.8630897360745,3.552713678800501e-15,0.0,-1.4210854715202004e-14,-7.105427357601002e-15,0.060159667395055294
256,1,445,-5943.452827627413,-5943.452827627416,0.0,0.0,-1.4210854715202004e-14,-1.0658141036401503e-14,0.0811427840963006
256,2,436,-6037.981481447704,-6037.981481447705,0.0,0.0,-2.1316282072803006e-14,-7.105427357601002e-15,0.05801939684897661
256,3,441,-5974.687797600018,-5974.687797600016,7.105427357601002e-15,0.0,-2.842170943040401e-14,-7.105427357601002e-15,0.05637150164693594
256,4,457,-5966.063100332458,-5966.063100332458,0.0,0.0,-2.1316282072803006e-14,-1.0658141036401503e-14,0.05832148436456919
256,5,448,-6061.725702882137,-6061.725702882139,0.0,0.0,-2.1316282072803006e-14,-7.105427357601002e-15,0.05596709530800581
256,6,491,-5809.044534146012,-5809.04453414601,7.105427357601002e-15,0.0,-1.4210854715202004e-14,-7.105427357601002e-15,0.06054271291941404
256,7,470,-5904.339064874484,-5904.339064874485,0.0,0.0,-2.1316282072803006e-14,-1.0658141036401503e-14,0.058833660557866096
256,8,456,-6072.423177026829,-6072.423177026831,0.0,0.0,-2.842170943040401e-14,-7.105427357601002e-15,0.0569030474871397
256,9,471,-5902.0305816403325,-5902.030581640332,3.552713678800501e-15,0.0,-1.4210854715202004e-14,-7.105427357601002e-15,0.06031634472310543
256,10,440,-5976.204756773886,-5976.204756773889,0.0,0.0,-1.4210854715202004e-14,-1.0658141036401503e-14,0.05667048878967762
256,11,450,-6007.720679972897,-6007.720679972897,0.0,0.0,-1.4210854715202004e-14,-1.0658141036401503e-14,0.056762758642435074
256,12,448,-5950.127410090779,-5950.127410090779,0.0,0.0,-2.1316282072803006e-14,-7.105427357601002e-15,0.05661928001791239
256,13,442,-5962.410692085277,-5962.410692085279,0.0,0.0,-2.1316282072803006e-14,-7.105427357601002e-15,0.05632283166050911
256,14,453,-5996.815449068639,-5996.815449068641,0.0,0.0,-1.4210854715202004e-14,-1.0658141036401503e-14,0.05851206183433533
256,15,453,-6026.94122406398,-6026.941224063981,0.0,0.0,-1.4210854715202004e-14,-7.105427357601002e-15,0.05971450172364712
